500,3.056263084093145e-7
600,2.0675007487854874e-7
700,1.4848018469969373e-7
800,1.1141871622960948e-7
900,8.646585158954154e-8
1000,6.890744981896197e-8
1100,5.610913840876718e-8
1200,4.650795500467695e-8
1300,3.913047519869009e-8
1400,3.334558056515555e-8
1500,2.873000190547242e-8
1600,2.499154283897999e-8
1700,2.1923392457520502e-8
1800,1.9375946286297947e-8
1900.0000000000002,1.723888544611271e-8
2000,1.5429462383370745e-8
2100,1.3884657901939868e-8
2200,1.255581616607978e-8
2300,1.1404903312722136e-8
2400,1.0401852544836455e-8
2500,9.522650234754625e-9
2599.9999999999995,8.74793622803805e-9
2700,8.061966634544004e-9
2800.0000000000005,7.45183587849452e-9
2900.0000000000005,6.906886659696027e-9
3000,6.418259229376428e-9
3100,5.9785343967043675e-9
3200,5.581474781391204e-9
3300.0000000000005,5.2217955417825385e-9
3400.0000000000005,4.895001035137172e-9
3500,4.59724712543435e-9
3600,4.325231612269982e-9
3700,4.076105463064998e-9
3800,3.847400516803458e-9
3900.0000000000005,3.636970252698216e-9
4000,3.442940999632028e-9
4100.000000000001,3.263671539651963e-9
4200,3.0977194985465516e-9
4300.000000000001,2.943813253956584e-9
4400,2.800828352051706e-9
4500.000000000001,2.6677676262983413e-9
4600.000000000001,2.5437443704124285e-9
4700,2.4279680419611553e-9
4800,2.319732072021482e-9
4900,2.2184034344174765e-9
5000,2.1234136908346334e-9
5100.000000000001,2.034251278542537e-9
5200,1.9504548479106786e-9
5300.000000000001,1.871607489984799e-9
5400,1.7973317210794482e-9
5500,1.7272851132848344e-9
5600,1.6611564778261492e-9
5700,1.5986625229146565e-9
5800,1.5395449200236684e-9
5900,1.4835677226594e-9
6000,1.4305150902148808e-9
6100.000000000001,1.3801892764187472e-9
6200,1.3324088479283927e-9
6300.000000000001,1.287007103539907e-9
6400,1.2438306686334618e-9
6500.000000000001,1.2027382431069958e-9
6600.000000000001,1.163599483935199e-9
6700,1.1262940061445498e-9
6800,1.0907104919955403e-9
6900,1.0567458734955095e-9
7000,1.0243046317647522e-9
